"'Near me' radius (in km):";"Rayon pour un post ""proche"" (en km) :"
"Add a comment";"Ajouter commentaire"
"An error occurred while deleting this answer. Please try again later.";"Une erreur est survenue lors de la suppression de  la réponse. Merci de réessayer ultérieurement"
"COMMENTS";"COMMENTAIRES"
"Create a news";"Créer une news"
"Create a news:";"Créez une info :"
"Flag";"Marquer"
"Flag as inappropriate";"Signaler comme inapproprié"
"Hide this info";"Masquer cette actu"
"Information successfully deleted";"Info supprimée avec succès"
"Information successfully hidden";"Info cachée avec succès"
"Information successfully saved";"Info sauvegardée avec succès"
"Information successfully shown";"Info affichée avec succès"
"Insert a";"Insérez une"
"It will be visible only after validation by our team.";"Il ne sera visible qu'après validation de notre équipe."
"My customers answers";"Réponses de mes clients"
"My customers' comments";"Les commentaires de mes clients"
"Near me";"Proches"
"Near me settings";"Paramètres pour ""Proches"""
"New post";"Nouveau post"
"No comment for now";"Aucun commentaire"
"No comments for now";"Aucun commentaire"
"Post";"Poste"
"Publishing date";"Date de publication"
"Radius";"Rayon"
"Radius must be a valid numeric value.";"Le rayon doit être une valeur numérique valide."
"Radius must be provided.";"Le rayon doit être indiqué."
"Read More";"En savoir plus"
"Recent";"Récent"
"Show this info";"Afficher cette actu"
"There is no comment for this news";"Il n'y a pas de commentaire pour cette actu"
"Was flagged as inappropriate";"A été marquée comme inappropriée"
"You can't like more than once the same news";"Vous ne pouvez pas aimer plusieurs fois la même actualité."
"You have to enter a text message.";"Vous devez saisir un message texte."
"You need to be connected to create a post";"Vous devez être connecté pour créer un poste"
"Your flag has successfully been notified";"Votre pavillon a été notifiée avec succès"
"Your like has been successfully added";"Votre <i>like</i> a bien été pris en compte."
"Your message has been successfully saved.";"Votre message a bien été pris en compte."
"Your post was successfully added";"Votre message a été ajouté avec succès"
"en";"dans"
