"Add a page";"Ajouter une page"
"Click on";"Cliquez sur"
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Cliquez sur une page pour l'ajouter au dossier <span id=""folder_name"" class=""folder_name"">""%s""</span>"
"Click on a page to add it to the folder";"Cliquez sur une page pour l'ajouter au dossier"
"Close mobile display";"Fermer l'affichage mobile"
"Delete this folder and all its subfolders?";"Etes-vous sûr de vouloir supprimer ce dossier et tous ses sous-dossiers ?"
"Folder title is required";"Le titre du dossier est obligatoire."
"Folders";"Dossiers"
"Mobile display";"Affichage mobile"
"New folder";"Nouveau dossier"
"Subtitle";"Sous-titre"
"You cannot add this feature";"Vous ne pouvez pas ajouter cette fonctionnalité."
"You must first complete the current category creation process";"Vous devez d'abord terminer la création de cette catégorie"
"You will lose all unsaved changes, continue?";"Vous allez perdre les modifications en cours, voulez-vous continuer ?"
"to add a folder.";"pour ajouter un dossier."
