"%s Update","%s mise à jour"
"All of your modules are up to date","Tous vos modules sont à jour"
"An update is available. Click here to download it.","Une mise à jour est disponible. Cliquez ici pour le télécharger."
"Click here to send your module","Cliquez ici pour envoyer votre module"
"Drop your module here","Lachez votre module ici"
"Host","hôte"
"Installing","Installation"
"Installing module <em><span id=""label_module""></span></em>","Installation du module <em><span id=""label_module""></span></em>"
"Installing your module","Installation de votre module"
"Module successfully installed","Module installé avec succès !"
"Module to upload","Module à télécharger"
"Modules Installation","Installation des modules"
"Modules successfully installed!","Modules installés avec succès"
"No directory provided","Aucun répertoire fourni"
"No module to install","Aucun module à installer"
"No modules uploaded yet","Aucun module n'a encore été installé"
"Or set the correct permissions to the following files and folders and try again:","Ou définir les autorisations appropriées pour les fichiers et dossiers suivants et essayez à nouveau:"
"Package Details","Détails du Package"
"Path to your system","Chemin d'accès à votre système"
"Please update the module to the %s version before installing this update.","SVP mettre à jour le module à la version %s avant d'installer cette mise à jour."
"Please update your system to the %s version before installing this update.","SVP mettre à jour votre système à la version %s avant d'installer cette mise à jour."
"Please wait, we're installing your module","Veuillez patienter quelques instants, votre module est en cours d'installation"
"Please, enter a name","Veuillez saisir le nom"
"Please, fill out all fields","Veuillez renseigner tous les champs"
"Port","Port"
"Processing the installation","Installation en cours"
"Retry","Réessayer"
"Select a module to upload","Sélectionner le module à installer :"
"Some files and folder are not writable. You can either provide your FTP access to install this update:","Certains fichiers et dossiers ne sont pas accessible en écriture. Vous pouvez fournir votre accès FTP pour installer cette mise à jour:"
"Some files don't have the right permissions and can't be updated","Certains fichiers n'ont pas les bonnes autorisations et ne peuvent pas être mis à jour"
"The database connection failed. Please, check the entered information.","Echec de la connexion. Merci de vérifier vos informations"
"The entered password confirmation does not match the entered password.","La confirmation du mot de passe n'est pas correct"
"The file %s does not exist","Le fichier %s n'existe pas"
"The file %s is not writable.","Le fichier %s n'est pas modifiable."
"The folder %s is not writable.","Le dossier %s n'a pas les droits en écriture."
"The folder %s is not writable. Please fix this issue and try again.","Le dossier %s n'a pas les droits en écriture. Veuillez corriger ce problème et réessayer."
"The following files and folders are not writable:","Les fichiers et dossiers suivants ne sont pas accessible en écriture:"
"The following files and folders are not writable: <br /> - %s","Les fichiers et dossiers suivants ne sont pas accessible en écriture: <br /> - %s"
"The following folders are not writable: <br /> - %s","Les dossiers suivants n'ont pas les droits en écriture : <br /> - %s"
"The installation of the module <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>","L'installation du module <span id=""installation_failed_module_name""> </ span> a échoué: <span id=""installation_failed_because""></ span>"
"The package you have uploaded is invalid.","Le package que vous avez téléchargé n'est pas valide."
"This process may take few minutes, please do not refresh the page","Ce processus peut prendre quelques minutes, merci de ne pas rafraichir la page."
"This update is designed for the %s, you can't install it in your %s.","Cette mise à jour est conçu pour %s, vous ne pouvez pas l'installer dans votre %s."
"Unable to check for updates now. Please, try again later.","Impossible de vérifier les mises à jour maintenant. S'il vous plaît, réessayez plus tard."
"Unable to connect to your FTP. Please check the connection information.","Impossible de se connecter à votre FTP. S'il vous plaît vérifier les informations de connexion."
"Unable to detect your site. Please make sure the entered path is correct.","Impossible de détecter votre site. Se il vous plaît faire que le chemin entré est correct."
"Unable to extract the archive.","Impossible d'extraire l'archive."
"Unable to fetch the update. Please, try again later.","Impossible de récupérer la mise à jour. S'il vous plaît, réessayez plus tard."
"Unable to open the archive.","Impossible d'ouvrir l'archive"
"Unable to open the file. Please, make sure that you sent a valid archive.","Impossible d'ouvrir le fichier. S'il vous plaît, assurez-vous que vous avez envoyé une archive valide."
"Upload a module","Envoyer un module"
"Upload your modules","Envoyer vos modules"
"Username","Nom d'utilisateur"
"We are checking for updates. Please, do not refresh the page.","Nous vérifions les mises à jour. S'il vous plaît, ne rafraîchissez pas la page."
"You already have installed this template.","Vous avez déjà installé ce modèle."
"You already have installed this update.","Vous avez déjà installé cette mise à jour."
"Your system is up to date.","Votre système est à jour."
