" is now yours!","est maintenant à vous!"
"%d validated points = ","%d points validés ="
"1 loyalty point =","1 point de fidélité ="
"1 point","1 point"
"1 validated point =","1 point validé ="
"1 validated point = ","1 point validé ="
"An error occurred while saving the password. Please try again later","Une erreur est survenue lors de la sauvegarde du mot de passe. Merci de réessayer ultérieurement"
"An error occurred while saving the password. Please try again later.","Une erreur est survenue lors de la sauvegarde du mot de passe. Merci de réessayer ultérieurement."
"An error occurred while saving your loyalty card.","Une erreur est survenue lors de la sauvegarde de votre carte de fidélité."
"An error occurred while saving your loyalty card. Please fill all fields in.","Une erreur est survenue lors de la sauvegarde de votre carte de fidélité. Merci de renseigner tous les champs."
"An error occurred while validating point. Please try again later.","Une erreur est survenue lors de la validation. Merci de réessayer ultérieurement."
"Card name","Nom de la carte"
"Congratulations","Félicitations"
"Current card","Carte en cours"
"Delete this password?","Etes-vous sûr de vouloir supprimer ce mot de passe ?"
"Employee's name","Nom de l'employé"
"Employee's name:","Nom de l'employé :"
"Employee's password","Son mot de passe"
"Employee's password:","Son mot de passe :"
"Enter the password","Entrez le mot de passe"
"My new loyalty card","Ma nouvelle carte de fidélité"
"My passwords","Mes mots de passe"
"No card available","Pas de carte disponible"
"Number of points","Nombre de points"
"Please enter a name","Veuillez saisir un nom"
"Please enter the password","Veuillez saisir le mot de passe"
"Please show your phone to the store person so that he enters his password","Veuillez tendre votre téléphone au commerçant afin qu'il saisisse son mot de passe"
"Point%s successfully validated","Point%s validé%s avec succès"
"Previous cards","Anciennes cartes"
"Reward","Avantage offert"
"This card is uniq:","Cette carte est unique :"
"Use only once?","Utilisez une seule fois?"
"We are sorry but this card is temporarily blocked","Nous sommes désolés mais votre carte est temporairement bloquée"
"Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point","Mot de passe erroné. Attention, plus que %d tentative%s avant blocage de votre carte. Veuillez faire valider par le commerçant"
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point","Mot de passe erroné.<br />Attention, plus que %d tentative%s avant blocage de votre carte.<br />Veuillez faire valider par le commerçant."
"You have exceeded the number of attempts to validate points. Your card is locked for 24h","Vous avez dépassé le quota d'essai pour valider un point de fidélité. Votre carte est bloquée pour 24h."
"You just finished your card","Vous venez de clôturer votre carte de fidélité"
"You must be logged in to validate points","Vous devez être connecté pour pouvoir valider un point de fidélité"
"Your loyalty card has been saved successfully","Carte de fidélité sauvegardée avec succès"
"Your password must be 4 digits","Votre mot de passe doit comporter 4 chiffres"
"is now yours!","est maintenant à vous !"
"point","point"
"point to validate","point à valider"
"points to validate","points à valider"
"validated points =","points validés ="
"validated points = ","points validés ="
