"%s - Customer Service";"%s - Service à la clientèle"
"20.00%";"20.00%"
"Add a format";"Ajouter un format"
"Add a picture";"Ajouter une photo"
"Add options";"Ajouter des options"
"Add pictures";"Ajouter des photos"
"Add to cart";"Ajouter au panier"
"Amount remaining:";"Montant restant:"
"Amount you will pay";"Montant que vous paierez"
"An error occurred while cancelling. Please try again later.";"Une erreur est survenue lors de l'annulation. Veuillez réessayer plus tard."
"An error occurred while proceeding the payment. Please, try again later.";"Une erreur s'est produite lors du paiement. S'il vous plaît, réessayez plus tard."
"An error occurred while proceeding your order. Please, check the following information:";"Une erreur se est produite lors de votre commande. S'il vous plaît, vérifiez les informations suivantes:"
"Are you sure you want to close without saving";"Êtes-vous sûr de vouloir fermer sans enregistrer"
"Are you sure you want to delete this category and all its subcategories?";"Êtes-vous sûr de vouloir supprimer cette catégorie et toutes ses sous-catégories?"
"Are you sure you want to delete this store?";"Êtes-vous sûr de vouloir supprimer ce magasin?"
"Are you sure you want to delete this tax?";"Êtes-vous sûr de vouloir supprimer cette taxe?"
"Are you sure you want to remove this product?";"Êtes-vous sûr de vouloir supprimer ce produit?"
"At least one option is required:";"Au moins une option est requise:"
"Calculate the change for the client";"Calculer la monnaie à rendre pour le client"
"Cancel order";"Annuler l'ordre"
"Cancelled";"Annulé"
"Carry Out";"À emporter"
"Cart";"panier"
"Cash";"espèces"
"Category";"catégorie"
"Category successfully saved.";"Catégorie sauvegardé avec succès."
"Check";"chèque"
"Choose a delivery method:";"Choisissez une méthode de livraison:"
"Choose a payment method:";"Choisissez une méthode de paiement:"
"Choose a store";"Choisissez un magasin"
"Choose a store:";"Choisissez une boutique:"
"Client will pay";"Le client paiera"
"Completed";"terminé"
"Connected Printers";"imprimantes connectées"
"Continue shopping";"Poursuivre les achats"
"Create a new options group";"Créer un nouveau groupe d'options"
"Create a new product";"Créer un nouveau produit"
"Create a new tax";"Créer une nouvelle taxe"
"Create a store";"Créer un magasin"
"Credit Card by phone";"Carte de crédit par téléphone"
"Credit card (online payment)";"Carte de crédit (paiement sur mobile)"
"Credit card (pay upon pickup or delivery)";"Carte de crédit (payer lors de l'achat ou à la livraison)"
"Credit card payment";"Paiement par CB"
"Customer";"client"
"Customer Service";"Service client"
"Delete";"Effacer"
"Delivery";"livraison"
"Delivery Fees";"Frais de livraison"
"Delivery Method";"Mode de livraison"
"Delivery area";"Zone de livraison"
"Delivery fees";"frais de livraison"
"Delivery fees:";"frais de livraison:"
"Delivery methods";"Modes de livraison"
"Delivery methods:";"Modes de livraison:"
"Delivery radius";"Rayon de livraison"
"Delivery radius:";"Rayon de livraison:"
"Delivery time";"Délai de livraison"
"Delivery time:";"Délai de livraison:"
"Details";"détails"
"Done";"Terminé"
"Duplicate this product";"Dupliquer ce produit"
"Edit a store";"Modifier un magasin"
"Edit the options group %s";"Modifier le groupe d'options %s"
"Edit the product %s";"Modifier le produit %s"
"Edit the tax %s";"Modifier la taxe %s"
"Format:";"Format :"
"Free delivery starting from";"Livraison gratuite à partir de"
"Free delivery starting from:";"Livraison gratuite à partir de:"
"Here is the detail of the order";"Voici le détail de la commande"
"Here is the detail of your order";"Voici le détail de votre commande"
"Hours of operation";"Heures d'ouverture"
"Hours of operation:";"Heures d'ouverture:"
"I will pay";"Je vais payer"
"In store";"en magasin"
"MM";"MM"
"Meal Voucher";"Titre restaurant"
"Merchant ID:";"Merchant ID :"
"Minimum order";"minimum de commande"
"Minimum order:";"minimum de commande:"
"My Cart";"Mon panier"
"My cart is empty";"Mon panier est vide"
"My categories";"Mes catégories"
"My information";"Mes informations"
"My orders";"Mes commandes"
"My product's categories";"Les catégories de mon produit"
"My product's options";"Les options de mon produit"
"My products";"Mes produits"
"My stores";"Mes magasins"
"My taxes";"Mes taxes"
"Name of the options group:";"Nom du groupe d'options:"
"New order from the application";"Nouvelle commande de l'application"
"Number";"nombre"
"Option name";"Nom de l'option"
"Option name:";"Nom de l'option:"
"Options";"Options"
"Options group successfully deleted";"Groupe Options supprimé avec succès"
"Options group successfully saved";"Groupe Options enregistré avec succès"
"Order %s cancelled";"Ordre %s annulé"
"Order Number";"Numéro de Commande"
"Order confirmation";"Confirmation de commande"
"Order details";"détails de la commande"
"Order successfully cancelled";"Commande annulée avec succès"
"Order successfully saved";"Commande enregistré avec succès"
"Orders";"commandes"
"Paid";"payé"
"Paid by the client:";"Payé par le client:"
"Password";"mot de passe"
"Password:";"mot de passe:"
"Payment";"paiement"
"Payment Method";"Mode de paiement"
"Payment methods:";"Mode de paiement:"
"Paypal";"Paypal"
"Paypal settings";"Réglages Paypal"
"Pending payment";"paiement en attente"
"Picture";"image"
"Please choose a delivery method";"Choisir un mode de livraison"
"Please choose a payment method";"choisir un mode de paiement"
"Please fill in your card information to process Credit card payment:";"Merci de rentrer vos informations de carte bancaire pour procéder au paiement :"
"Please enter an email address for the store %s";"entrez une adresse email pour le magasin %s"
"Price";"prix"
"Price: %s";"prix: %s"
"Printer successfully saved";"Imprimante enregistré avec succès"
"Proceed";"procéder"
"Product";"produit"
"Product formats";"Les formats de produit"
"Product name";"Nom du produit"
"Product name:";"Nom du produit:"
"Product successfully duplicated";"Produit dupliqué avec succès"
"Product successfully saved";"Produit enregistré avec succès"
"Publishable Key";"Clé de publication"
"Qty";"Quantité"
"Qty: %s";"Quantité: %s"
"Radius in Km";"Rayon en km"
"Remaining amount due";"Le montant restant dû"
"Remaining due";"Restant dû"
"Return URL:";"URL de retour :"
"Review";"Vérification"
"Settings";"paramètres"
"Settings successfully saved";"Paramètres sauvegardés avec succès"
"Show search fields on product list ?";"Afficher les champs de recherche sur la liste des produits?"
"Signature";"Signature"
"Signature:";"Signature:"
"Some mandatory fields are empty.";"Certains champs obligatoires sont vides."
"Sorry we can't proceed to deliver your order. It has been canceled.";"Désolé, nous ne pouvons pas procéder à la livraison de votre commande. Elle a été annulée."
"Status";"Status"
"Store choice";"Choix du magasin"
"Store information";"Informations du magasin"
"Store name";"Nom du magasin"
"Store name:";"Nom du magasin:"
"Store successfully deleted";"magasin supprimé avec succès"
"Store successfully saved";"magasin correctement enregistré"
"Stores";"magasins"
"Stripe settings";"Réglages Stripe"
"Subtotal";"total"
"Tax";"Taxe"
"Tax name";"Nom de la Taxe"
"Tax name:";"Nom de la Taxe:"
"Tax rate";"Taux de la Taxe"
"Tax rate:";"Taux de la Taxe:"
"Tax successfully deleted";"Taxe supprimée avec succès"
"Tax successfully saved";"Taxe enregistrée avec succès"
"Tax:";"Taxe:"
"Thank you!";"Merci!"
"The clients calculate the change:";"Les clients calculent la monnaie à rendre :"
"The delivery method";"méthode de livraison"
"The following options are required:<br />%s";"Les options suivantes sont requises:<br />%s"
"The option %s is required";"L'option %s est nécessaire"
"The payment has been cancelled, something wrong happened? Feel free to contact us";"Le paiement a été annulé, n'hésitez pas à nous contacter"
"The payment method";"mode de paiement"
"Time in minutes";"Temps en minutes"
"Total";"Total"
"Total Excl. Tax";"Total hors Taxe"
"Total Tax";"Total Taxe"
"Total: %s";"Total: %s"
"Unable to proceed to checkout the minimum order amount is %s";"Impossible de payer car le montant minimum de commande est de %s"
"Unit Price";"Prix unitaire"
"Unit price";"Prix unitaire"
"Username";"Nom d'utilisateur"
"Username:";"Nom d'utilisateur:"
"Waiting for payment";"En attente de paiement"
"We apologize but the payment method %s is currently not available";"Nous nous excusons mais la méthode de paiement %s est actuellement pas disponible"
"We thank you for your order. A confirmation email has been sent";"Nous vous remercions de votre commande. Un email de confirmation a été envoyé"
"YYYY";"YYYY"
"You don't have any categories yet";"Vous ne avez pas encore de catégories"
"You have a connected printer? Enter the email address";"Vous avez une imprimante connectée? Entrez l'adresse e-mail"
"You have a connected printer? Enter the email address for each store";"Vous avez une imprimante connectée? Entrez l'adresse e-mail pour chaque magasin"
"Your address";"votre adresse"
"Your email address";"Votre adresse e-mail"
"Your firstname";"votre prénom"
"Your lastname";"votre nom"
"Your phone number";"Votre numéro de téléphone"
"e.g., Sauces";"par exemple, Sauces"
"without taxes";"sans les taxes"
