"Access restricted to authorized members only","Accès réservé aux membres autorisés seulement"
"Allow all the users by default:","Permettre à tous les utilisateurs par défaut :"
"Choose the features to lock:","Choisissez les fonctionnalités à verrouiller :"
"Lock the entire application?","Verrouiller l'application entière?"
"Restrict Access","Restreindre l'accès"
"Unlock by:","Débloqué par :"
"We are sorry but your account does not have enough permissions to access this page","Nous sommes désolés mais votre compte ne possède pas les autorisations suffisantes pour accéder à cette page"
"the email address","l'adresse e-mail"
"the first name","le prénom"
"the gender","le sexe"
"the last name","le nom"
"the password","le mot de passe"
