"<b>File types:</b> %s<br />";"<b>types de fichiers:</b> %s<br />"
"Add";"Ajouter"
"An error occurred during the process. Please try again later.";"Une erreur est survenue pendant le processus. Veuillez réessayer plus tard."
"An error occurred while deleting your preview. Please try again later.";"Une erreur est survenue lors de la suppression de votre aperçu. Veuillez réessayer plus tard."
"An error occurred while saving your previews. Please try again later.";"Une erreur est survenue lors de l'enregistrement de vos aperçus. Veuillez réessayer plus tard."
"Click here to send your image";"Cliquez ici pour envoyer votre image"
"Create a new preview";"Créer une nouvelle preview"
"Delete image";"Supprimer l'image"
"Delete translation";"Supprimer la traduction"
"Description";"Description"
"Drag and drop images to reorder them.";"Glissez et déposez les images pour les réorganiser."
"Drop your image here";"Déposez votre image ici"
"Edit the preview";"Modifier l'aperçu"
"Existing images :";"Les images existantes:"
"Feature";"Caractéristique"
"Language";"Langue"
"List of existing previews";"Liste des aperçus existants"
"OR";"OU"
"Preview images";"Aperçu d'images"
"Preview successfully saved";"Aperçu enregistré avec succès"
"Previews";"Prévisualisations"
"Search";"Recherche"
"Sorry, but an existing preview for this feature has been found. Please edit existing one.";"Désolé, mais un aperçu existant pour cette fonction a été trouvé. S'il vous plaît modifier l'existant."
"Title";"Titre"
"Unable to copy the file.";"Impossible de copier le fichier."
"Unable to create the directory.";"Impossible de créer le répertoire."
"Unable to delete the file %s";"Impossible de supprimer le fichier %s"
"Unable to delete the file.";"Impossible de supprimer le fichier."
"You don't have any previews yet";"Vous ne possédez pas encore de prévisualisations"
"Your image has been successfully saved";"Votre image a été enregistrée avec succès"
"Your preview has been deleted successfully.";"Votre aperçu a été supprimé avec succès."
"Your preview translation has been deleted successfully.";"Votre traduction de prévisualisation a été supprimé avec succès."
