"'Or go to your store<br />and look for ""Apps Company Previewer""'";"'Ou, allez sur votre store<br /> et cherchez ""Apps Company Previewer"""
"A 1024x1024px max icon which will be the icon of your app on the user device after installation.";"Une icône 1024x1024px max qui sera l'icône de votre application sur le périphérique de l'utilisateur après l'installation."
"Action";"Action"
"All fields are mandatory.";"Tous les champs sont obligatoires."
"An error occurred during the process. Please try again later.";"Une erreur est survenue pendant le processus. S'il vous plaît réessayer plus tard."
"Apple Store URL:";"Adresse Google AppStore"
"Application";"Application"
"Application Icon Settings";"Paramètres de l'icône de l'application"
"Application Name:";"Nom de l'application:"
"Background color:";"La couleur de fond:"
"Bundle ID:";"Bundle ID:"
"Click here to send your image";"Cliquez ici pour envoyer votre image"
"Configuration Settings";"Paramètres de configuration"
"Data saved successfully.";"Les données sont sauvegardées avec succès."
"Download our app previewer";"Téléchargez notre app de preview"
"Download our app previewer:";"Téléchargez notre app de prévisualisation :"
"Drop your image here";"Déposez votre image ici"
"Enable modal button in editor";"Bouton activer pop-up dans l'éditeur"
"File types:";"Les types de fichiers:"
"First paragraph:";"Premier paragraphe"
"Font color:";"Couleur de la police:"
"In order to display a QRCode linking to your previewer, please fill in stores URL.";"Pour afficher un code QR lien vers votre presivualisateur, s'il vous plaît remplir dans les magasins URL."
"In order to download your previewer, please fill in all information and images.";"Afin de télécharger le previewer, s'il vous plaît remplir toutes les informations et les images."
"Information Text, first paragraph:";"Information Texte, premier paragraphe:"
"Information Text, second paragraph:";"Information Texte, deuxième paragraphe:"
"Logo image Settings";"Réglages du Logo"
"Mobile Source Codes";"Codes Source mobiles"
"Modal";"Pop-up"
"Modal image:";"Image pop-up:"
"Name";"Nom"
"No Store text:";"Réglages si pas de magasin"
"No previewer found for your device";"Aucun previewer trouvé pour votre téléphone"
"No store Settings";"Réglages si pas de magasin"
"OR";"OU"
"Play Store URL:";"Lien Google Store"
"Preview and test your native apps directly on your mobile.";"Prévisualisez et testez directement sur votre téléphone"
"Preview on your phone";"Prévisualisez sur votre téléphone"
"Previewer Modal";"Fenêtre pop-up de prévisualisation"
"Progress";"Progression"
"QRCode Settings";"Réglages QRCode"
"Save";"Sauvegarder"
"Scan this QR Code";"Scannez ce code"
"Second paragraph:";"Deuxième paragraphe"
"Send";"Envoyer"
"Size";"Taille"
"Source files not found.";"Les fichiers sources sont introuvables."
"Start-up image 1242x2208:";"Image de démarage 1242x2208:"
"Start-up image 320x480:";"Image de démarage 320x480:"
"Start-up image 640x1136:";"Image de démarage 640x1136:"
"Start-up image 640x960:";"Image de démarage 640x960:"
"Start-up image 750x1334:";"Image de démarage 750x1334:"
"Start-up images Settings";"Paramètres des Images de démarage"
"Status";"Statut"
"The QR Code is not available at this moment";"Le code QR est pas disponible en ce moment"
"The entered bundle id is incorrect, it should be like: com.mycompany.previewer";"L'identifiant du paquet entré est incorrect, il devrait être comme: com.mycompany.previewer"
"When QRCode can't redirect your users (when there are no stores for the user's device, for example), the following text will be displayed on an error page:";"Lorsque QRCode ne peut pas rediriger vos utilisateurs (quand il n'y a pas d'adresses de magasins pour le périphérique de l'utilisateur, par exemple), le texte suivant sera affiché sur une page d'erreur:"
"You can also add an image which will be displayed above the previous text:";"Vous pouvez également ajouter une image qui sera affichée au-dessus du texte précédent:"
"Your %s image has been successfully saved.";"Votre %s image a été enregistrée avec succès."
"Your image has been successfully saved.";"Votre image a été enregistrée avec succès."
