"Action","Action"
"App Name","Nom de l'app"
"Client","Client"
"Date","Date"
"Invoice","Facture"
"Invoice %s","Facture %s"
"Invoice N°","Facture N°"
"List of your invoices","Liste de vos factures"
"My Invoices","Mes factures"
"Order","Commande"
"Orders","Commandes"
"Paid At","Payée le"
"Paid at:","Payé à:"
"Price Excl. Tax","Prix HT"
"Qty","Qté"
"This feature is not ready yet. Please try again later.","Cette fonctionnalité n'est pas encore prête. Veuillez essayer ultérieurement."
"Total Excl. Tax","Total HT"
"You don't have any invoices yet","Vous n'avez pas encore de factures"
