%s Subscription for %s,%s Abonnement pour %s
"<a href=""%s"">Click here</a> to go back to your applications list","<a href=""%s"">Cliquez ici</a> pour revenir à votre liste d'applications"
Active,Actif
An error occurred while processing your order. Please, try again later.,Une erreur s'est produite lors du traitement de votre commande. Merci de réessayez plus tard.
An error occurred while saving. Please try again later,Une erreur s'est produite lors de l'enregistrement. Merci de réessayer plus tard
An error occurred while saving. The selected subscription is not valid.,Une erreur s'est produite lors de l'enregistrement. L'abonnement sélectionné n'est pas valide.
Are you sure you want to delete this plan?,Êtes-vous sûr de vouloir supprimer ce plan?
Billing Address,Adresse de Facturation
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0),"" target=""_blank"" class=""underline"">to our terms and conditions</a>",
Charged to your client every month,Prélevé à votre client chaque mois
Charged to your client every year,Prélevé à votre client chaque année
Charged to your client when placing the order,Prelevé à votre client lors de la commande
Choose the subscription that suits you best:,Choisissez l'abonnement qui vous convient le mieux, puis cliquez sur « Sauvegarder ».
Create a new subscription,Créer un nouvel abonnement
Creation,Création
Describe here this plan. Will be displayed on the front end,Décrivez ici ce plan. Sera affiché sur le front.
Each price must be entered excluding tax,Chaque prix doit être entré HT
Edit the subscription %s,Modifier l'abonnement %s
Expiration,Expiration
Expiration date,Date d'expiration
Give a name to this plan. Will be displayed on the front end,Donnez un nom à ce plan. Sera affiché sur le front
List of your plans,Liste de vos plans.
List of your subscriptions,Liste de vos abonnements
None,Aucun
One-off,Unique
Order's details,Détails de la commande
Payment,Paiement
Payment Option,Option de paiement
"Payment secured by <img src=""%s"" width=""100"" title=""Paypal"" />","Paiement sécurisé par <img src=""%s"" width=""100"" title=""Paypal"" />"
Please, enter a company,Merci d'entrer un nom de société (ou nom propre)
Please, enter a country,Merci d'entrer un pays
Please, enter a description.,Merci d'entre une description
Please, enter a name.,Merci d'indiquer un nom
Please, enter an address,Merci d'entrer une adresse
Pricing,Prix
Proceed to payment?,Procéder au paiement?
Recurring,Récurrent
Setup Fee,Frais de publication sur les stores Apple et Google.
Setup fee,Frais d'installation
Subscription,Abonnement
Subscription successfully saved,Abonnement enregistré avec succès
Subtotal,Total
Thanks!,Merci !
The monthly price is not a valid price (e.g. 12.34),Le prix mensuel n'est pas un prix valable (par exemple 12.34)
The setup fee is not a valid price (e.g. 12.34),Les frais d'installation n'ont pas un prix valable (par exemple 12.34)
The yearly price is not a valid price (e.g. 12.34),Le prix annuel n'est pas un prix valable (par exemple 12.34)
This subscription is active,L'abonnement est actif
An error occurred while processing the payment. For more information, please feel free to contact us.,Une erreur se est produite lors du traitement du paiement. Pour plus d'informations, contactez-nous.
VAT Number,Numéro de TVA
You already have a subscription for this application,Vous avez déjà un abonnement pour cette application
You don't have any subscriptions yet,Vous n'avez pas encore d'abonnements
You're almost done! After subscribing, we will publish your application on both the AppStore and the Google Play.,Vous avez presque fini! Après avoir souscrit, nous publierons votre demande à la fois sur l'AppStore et Google Play.
Your VAT Number is not valid,Votre numéro de TVA n'est pas valide
Your order has been canceled. If you need any help to place your order, please feel free to contact us.,Votre commande a été annulée. Si vous avez besoin d'aide pour passer votre commande, merci de nous contacter.
Your order has been successfully paid. Your application will be published very soon.,Votre commande a été payée avec succès. Vous allez être averti par mail des différentes étapes de la publication de votre application.
Your subscription must have at least one price,Votre abonnement doit avoir au moins un prix
price,Prix
