"<b>File types:</b> %s<br /><b>Recommended size:</b> %s";"<b>Type de fichier:</b> %s<br /><b>Taille recommandée:</b> %s"
"Click here to send your favicon";"Cliquez ici pour envoyer votre favicon"
"Click here to send your logo";"Cliquez ici pour envoyer votre logo"
"Communications";"Communications"
"Current favicon";"Votre favicon"
"Current logo";"Votre logo"
"Display a link to your clients to your support platform";"Afficher un lien aux clients vers votre support"
"Drop your favicon here";"Déposez votre favicon ici"
"Drop your logo here";"Déposez votre logo ici"
"Duration of the free trial period of your platform (in days, 0 for no free trial).";"Durée de la période d'essai gratuite de votre plate-forme (en jours, 0 pour pas d'essai gratuit)."
"Enter the javascript code provided by your Chat provider in order to display a Chat from the editor.";"Entrez le code javascript fourni par votre fournisseur de discussion afin d'afficher un chat à partir de l'éditeur."
"Force all app to use Owner AdMob";"Forcer toutes les apps à utiliser l'AdMob de l'admin"
"Free trial period duration must be a numeric value.";"La période d'essai gratuit doit être une valeur numérique."
"Online Chat";"Chat Online"
"Publication access type";"Type d'accès de publication"
"Sales";"Ventes"
"Sales Email Address";"Ventes – Adresse email"
"Sender's email address of the emails sent by the site to your clients";"Adresse email de l'expéditeur des emails envoyé par le site à vos clients"
"Sender's name of the emails sent by the site to your clients";"Nom de l'expéditeur des emails envoyé par le site à vos clients"
"Support Email Address";"Support – Adresse email"
"The folder /images/default is not writable.";"Le dossier /images/default n'a pas les droits en écriture"
"Users can download application sources code.";"Les utilisateurs peuvent télécharger le code des sources de l'application."
"Users give you the required information to publish applications.";"Les utilisateurs vous donnent les informations nécessaires pour publier des applications."
"Your Applications";"Vos applications"
"Your Location";"Votre localisation"
"Your Platform";"Votre plate-forme"
"Your company";"Votre entreprise"
