"All","Tous"
"Choose a template to customize","Choisissez un modèle à customiser. Selon le modèle choisi, des fonctionnalités sont déjà intégrées avec des exemples pour vous aider. Modifiez, effacez, remplacez ce que vous voulez. Si vous préférez partir de zéro, choisissez le modèle Blank."
"City","Ville"
"Education","Éducation"
"Entertainment","Divertissement"
"Events","Evénements"
"Fashion","Mode"
"Hairdressing","Coiffeurs"
"Health & Beauty","Santé & Beauté"
"Health & Wellness","Santé & Bien-être"
"Hotels","Hôtels"
"List of your categories","Liste de vos catégories"
"Local Business","Entreprise Locale"
"Music","Musique"
"Organizations","Organisations"
"Others","Autres"
"Real Estate","Immobilier"
"Restaurants","Restaurants"
"Sports","Sports"
"TEMPLATES","TEMPLATES"
